Alloy,No,Component,Fraction,a,delta,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,omega,Phase_inshort
Al0.5CoCrCuFeNiTi0.2,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.2,1.276035088,0.0493137,1.805789474,0.11875003,8.122807018,2.428414944,1.56E+11,30.32886333,761.9534452,SS
Cu54Zr27Ti9Be10,4,Cu Zr Ti Be,54 27 9 10,1.36731,0.117564223,1.6807,0.249368222,7.58,3.747479153,1.18E+11,29.69927398,88.8938055,AM
Zr66Al9Cu16Ni9,4,Zr Al Cu Ni,66 9 16 9,1.50348,0.096609903,1.4986,0.246759073,5.57,2.950440645,92190000000,37.20621229,57.58221445,AM
GdHoLaTbY,5,Gd Ho La Tb Y,1 1 1 1 1,1.8058,0.021582588,1.17,0.057965507,3,4.44E-16,37140000000,4.685979087,0,SS
La55Al25Cu20,3,La Al Cu,55 25 20,1.64705,0.158779617,1.3875,0.332217925,4.6,3.2,62400000000,43.60550424,38.16425653,AM
AlMnNbTiV,5,Al Mn Nb Ti V,1 1 1 1 1,1.3978,0.039497885,1.586,0.034985711,4.8,1.326649916,1.27E+11,34.28352374,193.4326598,IM
CoCr2FeNiAl0.3,5,Co Cr Fe Ni Al,1 2 1 1 0.3,1.257660377,0.034061991,1.777924528,0.11230616,7.528301887,1.909299719,1.65E+11,23.39470476,399.8129026,IM+SS
Mo3Si,2,Mo Si,3 1,1.3105,0.069387766,2.095,0.112583302,5.5,0.866025404,1.98E+11,56.29165125,55.5640679,IM
AlNd,2,Al Nd,1 1,1.536,0.067708333,1.375,0.235,3,0,54000000000,22,20.31532304,IM
Al0.5CoCrCuFeNiTi1.4 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.4,1.308376812,0.069377252,1.759565217,0.147642682,7.405797101,2.704364913,1.48E+11,32.64545432,237.8935821,IM+SS
Gd50Al24Co20Y6,4,Gd Al Co Y,50 24 20 6,1.6025,0.144709828,1.4356,0.278101852,4.2,2.4,75700000000,54.39310618,50.68989921,AM
Al0.5CoCrCuFeNiV1.0 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 1.0,1.276461538,0.040357597,1.786923077,0.120791277,7.769230769,2.454316328,1.58E+11,27.19119245,647.9011195,IM+SS
B6Co20In3,3,B Co In,6 20 3,1.193793103,0.177770874,1.902758621,0.076243555,7.137931034,2.775808524,1.94E+11,78.04050698,140.6826834,IM
HfNbTiZr,4,Hf Nb Ti Zr,1 1 1 1,1.518,0.048723866,1.4425,0.129687123,4.25,0.433012702,1.15E+11,35.44545399,1292.719492,SS
Cu54Ni6Zr22Ti18,4,Cu Ni Zr Ti,54 6 22 18,1.3807,0.099427646,1.7104,0.242618713,8.14,3.388273897,1.22E+11,31.28320902,105.0285221,AM
Ni50Nb20Hf2.5Ti17.5,4,Ni Nb Hf Ti,50 20 2.5 17.5,1.337888889,0.078862519,1.752222222,0.182803949,7.555555556,2.753224821,1.62E+11,28.19683898,67.85034904,AM
Fe3W2,2,Fe W,3 2,1.2914,0.047798623,2.042,0.259645913,7.2,0.979795897,2.26E+11,68.5857128,0,IM
Y36Sc20Al24Co20,4,Y Sc Al Co,36 20 24 20,1.5708,0.13550695,1.4736,0.251457829,4.2,2.4,80400000000,51.54648388,61.57153967,AM
FeCoNiCrCuAl0.5,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.5,1.269272727,0.041692079,1.815454545,0.109325505,8.272727273,2.339032787,1.58E+11,29.54755237,1968.105626,SS
MgZn2,2,Mg Zn,1 2,1.463666667,0.066346617,1.536666667,0.160277537,8.666666667,4.714045208,61666666667,11.78511302,137.7472354,IM
Ni45Ti20Zr27Al8,4,Ni Ti Zr Al,45 20 27 8,1.40047,0.107461264,1.6554,0.246143942,6.62,3.068484968,1.28E+11,48.78775948,49.55076903,AM
Al3Yb,2,Al Yb,3 1,1.499,0.077416547,1.4825,0.220836478,3,0,64750000000,19.48557159,36.48064903,IM
Cu4MgSn,3,Cu Mg Sn,4 1 1,1.388833333,0.112927833,1.811666667,0.225419362,8.333333333,3.815174381,1.11E+11,41.88774682,1275.161783,IM
Co0.5CrFeMn1.5Ni ,5,Co Cr Fe Mn Ni,0.5 1 1 1.5 1,1.2773,0.037337176,1.733,0.146359147,7.8,1.4,1.56E+11,24.57641145,684.6287119,IM+SS
Ni50Nb20Hf10Ti20,4,Ni Nb Hf Ti,50 20 10 20,1.359,0.087938922,1.713,0.212134391,7.2,2.821347196,1.57E+11,31,74.21986355,AM
Al3Ca8,2,Al Ca,3 8,1.827636364,0.132562915,1.166363636,0.271670681,2.272727273,0.445361771,33090909091,26.27634451,39.34565319,IM
FeCoNiMnMo,5,Fe Co Ni Mn Mo,1 1 1 1 1,1.2902,0.042149755,1.866,0.194792197,8,1.414213562,1.76E+11,34.98571137,782.347769,IM+SS
Al2CrCuFeNi2,5,Al Cr Cu Fe Ni,2 1 1 1 2,1.303428571,0.062974937,1.775714286,0.132434042,7.285714286,3.103651569,1.40E+11,42.58005665,245.2861415,IM
MgNi4Y,3,Mg Ni Y,1 4 1,1.397833333,0.15912221,1.695,0.30516389,7.5,3.547299442,1.34E+11,64.59274125,85.87093296,IM
AlCrTaTiZr,5,Al Cr Ta Ti Zr,1 1 1 1 1,1.4352,0.07857283,1.528,0.113384302,4.4,1.019803903,1.23E+11,49.79294908,168.5479025,AM
Al5Co2,2,Al Co,5 2,1.380285714,0.059239521,1.687142857,0.121973567,4.714285714,2.710523709,1.06E+11,46.98241095,45.20355768,IM
Ca2Mg6Zn3,3,Ca Mg Zn,2 6 3,1.613,0.119248417,1.346363636,0.218352206,4.727272727,4.453617714,46727272727,17.60728625,97.60564925,IM
Cu0.76Si0.24,2,Cu Si,0.76 0.24,1.248,0.042776756,1.9,0,9.32,2.989581911,1.30E+11,17.0833252,57.11734509,IM
Gd36Al24Co20Nd20,4,Gd Al Co Nd,36 24 20 20,1.57024,0.135264301,1.4224,0.289969378,4.2,2.4,74320000000,55.38427214,69.15201822,AM
La66Al14Cu20,3,La Al Cu,66 14 20,1.69622,0.152377934,1.3314,0.332968527,4.6,3.2,57120000000,44.53521753,41.06252195,AM
CuAlNiCoCrFeSi,7,Cu Al Ni Co Cr Fe Si,1 1 1 1 1 1 1,1.264285714,0.061258363,1.812857143,0.115846485,7.285714286,2.813959372,1.44E+11,37.98388488,169.0176279,SS
AlMnSi,3,Al Mn Si,1 1 1,1.311666667,0.089262097,1.686666667,0.152825245,4.666666667,1.699673171,98666666667,17.98765008,41.09342721,IM
CoFeNi2V0.5Nb0.75,5,Co Fe Ni V Nb,1 1 2 0.5 0.75,1.278809524,0.050580504,1.818095238,0.11890849,8.238095238,1.94947519,1.75E+11,6.632565846,183.1403202,IM+SS
FeSi2,2,Fe Si,1 1,1.197,0.036758563,1.865,0.035,6,2,1.35E+11,35,34.63755484,IM
Ag2Ga3,2,Ag Ga,2 3,1.4132,0.018372906,1.858,0.058787754,6.2,3.919183588,73600000000,21.55550974,94.742937,IM
Al85.8Co9.1Y5.1,3,Al Co Y,85.8 9.1 5.1,1.434399,0.069566942,1.61468,0.119871171,3.546,1.725654658,83679000000,31.42871233,40.64631818,AM
CoCrCuFeZr0.8 ,5,Co Cr Cu Fe Zr,1 1 1 1 0.8,1.312791667,0.099335677,1.73625,0.201097251,7.75,2.349645363,1.47E+11,36.73341988,304.556572,AM+IM
B6Ni20Ti3,3,B Ni Ti,6 20 3,1.180206897,0.165267647,1.89862069,0.132397628,7.931034483,3.095391842,2.02E+11,63.95413041,53.554424,IM
Co2Mo1.75Ni2VW1.75,5,Co Mo Ni V W,2 1.75 2 1 1.75,1.304411765,0.042011454,2.014117647,0.230550717,7.529411765,1.913347761,2.15E+11,53.26047503,572.3457697,IM+SS
Al3Nb10Ni9,3,Al Nb Ni,3 10 9,1.354545455,0.066679566,1.728181818,0.151316536,6.772727273,2.762275383,1.61E+11,34.20018849,65.49642733,IM
AlCo1.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1.5 1 0.5 1 1,1.280583333,0.053348519,1.796666667,0.117780398,7.666666667,2.527625148,1.54E+11,36.88570937,371.3288622,SS
Cr45Co34Nb7B14,4,Cr Co Nb B,45 34 7 14,1.20222,0.133726928,1.7838,0.146961083,6.53,2.027091512,1.90E+11,53.22583959,123.6008105,AM
AlCoCrFeNiTi,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1,1.3135,0.072207879,1.738333333,0.141352593,6.666666667,2.560381916,1.46E+11,39.32768321,143.5458401,IM+SS
Mg50Ni50,2,Mg Ni,50 50,1.4235,0.124692659,1.61,0.3,6,4,1.13E+11,67.5,229.6916471,AM
HoDyYGdTb,5,Ho Dy Y Gd Tb,1 1 1 1 1,1.7848,0.008091442,1.194,0.048,3,4.44E-16,39740000000,1.212600511,0,SS
Al2TiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,2 1 1 1 1 1 1 1 1,1.3257,0.062715627,1.712,0.14239382,6.6,2.727636339,1.37E+11,37.83331865,229.2154613,SS
La55Al25Ni5Cu15,4,La Al Ni Cu,55 25 5 15,1.64545,0.160356368,1.388,0.332995495,4.55,3.106042498,64400000000,47.83137046,40.99682839,AM
Co0.5Cr0.5Fe0.5NiAlMnV0.5,7,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 0.5,1.3113,0.05559264,1.714,0.142562267,6.8,2.441311123,1.42E+11,39.29834602,192.7237123,SS
Cu3MgSi,3,Cu Mg Si,3 1 1,1.3176,0.113647474,1.782,0.236,7.8,3.969886648,1.13E+11,37.36308338,86.29011679,IM
Al2Ce,2,Al Ce,2 1,1.563,0.118529736,1.446666667,0.230988215,3,0,58000000000,25.45584412,18.45434639,IM
Bi2Mg3,2,Bi Mg,2 3,1.5326,0.054660413,1.594,0.347827543,3.2,1.469693846,39400000000,6.85857128,54.09892117,IM
Zr42.63Ti12.37Cu11.25Ni10Be23.75,5,Zr Ti Cu Ni Be,42.63 12.37 11.25 10 23.75,1.4004833,0.142199464,1.535102,0.217392708,4.9125,3.038065791,1.08E+11,36.57506861,73.41918571,AM
Cu17Sn3,2,Cu Sn,17 3,1.3293,0.091866716,1.909,0.021424285,9.95,2.49949995,1.28E+11,29.27985656,145.6234584,IM
Al6CuMg4,3,Al Cu Mg,6 1 4,1.479454545,0.06856518,1.527272727,0.183109054,3.363636364,2.459590774,70545454545,26.30714952,406.7038229,IM
Mg65Ni20Nd15,3,Mg Ni Nd,65 20 15,1.53585,0.094776924,1.4045,0.259624248,3.75,3.144439537,70050000000,55.16201138,125.9674863,AM
ZrHfTiCuCo,5,Zr Hf Ti Cu Co,1 1 1 1 1,1.4344,0.102415552,1.59,0.258611678,6.4,3.006659276,1.22E+11,36.31498007,132.7617943,AM
Ce57Al10Ni12.5Cu15.5Nb5,5,Ce Al Ni Cu Nb,57 10 12.5 15.5 5,1.60874,0.158234464,1.41265,0.349571849,5.215,3.367309757,72840000000,63.88125234,71.80464379,AM
Al11Mn4,2,Al Mn,11 4,1.410133333,0.025715132,1.594,0.026532998,4.066666667,1.768866555,87733333333,19.4575321,42.51599345,IM
Al1.5CoCrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1.5 1 1 0.5 1 1,1.295666667,0.061149968,1.774166667,0.125263611,7.166666667,2.793842436,1.46E+11,41.73594241,274.8988345,SS
CoFeMnNiV,5,Co Fe Mn Ni V,1 1 1 1 1,1.2808,0.034408139,1.76,0.143387587,7.8,1.720465053,1.62E+11,22.27105745,323.6479051,SS
Mg65Cu25Y10,3,Mg Cu Y,65 25 10,1.54035,0.10557074,1.4485,0.262016698,4.35,3.850649296,68350000000,41.38390388,167.9607179,AM
Al9Mn4Si3,3,Al Mn Si,9 4 3,1.3591875,0.077075001,1.649375,0.122956738,4.1875,1.666536453,91500000000,18.75499933,44.27704879,IM
AlBeTi,3,Al Be Ti,1 1 1,1.340666667,0.112538012,1.573333333,0.028674418,3,0.816496581,1.05E+11,22.29100466,60.89704047,IM
CuTiZn,3,Cu Ti Zn,1 1 1,1.378333333,0.055165568,1.696666667,0.150628314,9,3.559026084,1.07E+11,28.67441756,142.9909572,IM
Pd77Cu6Si17,3,Pd Cu Si,77 6 17,1.33144,0.063041941,2.131,0.126249752,9.04,2.293120145,1.64E+11,30.46309242,37.06764408,AM
Cu53.2Zr41.8Al5,3,Cu Zr Al,53.2 41.8 5,1.42155,0.110625144,1.64724,0.275908649,7.674,3.552425087,1.08E+11,34.25440811,58.15938824,AM
Ag4Sn,2,Ag Sn,4 1,1.48,0.047297297,1.936,0.012,9.6,2.8,91600000000,16.8,283.8115748,IM
CuCoNiCrAl0.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 0.8 1,1.277689655,0.049216676,1.804827586,0.115776857,8,2.559633594,1.54E+11,34.00356699,818.2859273,SS
Al2Ru,2,Al Ru,2 1,1.400666667,0.031636381,1.806666667,0.278128667,4.666666667,2.357022604,1.24E+11,67.88225099,50.85225349,IM
Al2Mn,2,Al Mn,2 1,1.404666667,0.027519106,1.59,0.028284271,4.333333333,1.885618083,90666666667,20.74179891,42.53681808,IM
AlCoCr0.5Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 0.5 0.5 1 1,1.2867,0.056983974,1.802,0.118558003,7.7,2.685144316,1.51E+11,39.41776249,336.5599029,SS
AlCoCrCu0.5FeNi0.5,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 0.5,1.287,0.056845453,1.777,0.119503138,7.3,2.60959767,1.49E+11,38.4,395.4932743,SS
Ho35Al24Co20Y21,4,Ho Al Co Y,35 24 20 21,1.5904,0.139546791,1.4491,0.266781165,4.2,2.4,76850000000,53.60342806,62.77914357,AM
FeNi2CrCuAl0.8,5,Fe Ni Cr Cu Al,1 2 1 1 0.8,1.276827586,0.049557717,1.81,0.119625854,8.172413793,2.653156422,1.54E+11,34.00356699,553.1401467,SS
CuMg2,2,Cu Mg,1 2,1.493333333,0.101962272,1.506666667,0.278128667,5,4.242640687,76666666667,44.78342948,254.9056244,IM
Ni57.5Zr24Nb11Al7.5,4,Ni Zr Nb Al,57.5 24 11 7.5,1.36576,0.109887013,1.7142,0.244375449,7.485,2.956311046,1.45E+11,49.50107743,49.32268503,AM
TiZrNbMoV1.5,5,Ti Zr Nb Mo V,1 1 1 1 1.5,1.423818182,0.070059046,1.65,0.262054817,4.818181818,0.715818898,1.49E+11,51.89886064,1388.912876,SS
ZrTi,2,Zr Ti,50 50,1.5325,0.046003263,1.435,0.105,4,0,90416666667,19.58333333,0,AM
BCaNi4,3,B Ca Ni,1 1 4,1.296666667,0.263224514,1.78,0.352041664,7.5,3.547299442,1.76E+11,87.63640162,92.4757037,IM
Al8Mn5,2,Al Mn,8 5,1.400461538,0.028485858,1.586923077,0.029190255,4.538461538,1.946017022,92923076923,21.40618724,42.91707218,IM
AlCoCrCu0.5Fe1.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1.5 1,1.27975,0.053707931,1.7925,0.115623311,7.583333333,2.498610725,1.54E+11,36.40627235,408.3278255,SS
TaNbVTiAl0.25,5,Ta Nb V Ti Al,1 1 1 1 0.25,1.410588235,0.038324397,1.57,0.05017616,4.647058824,0.588235294,1.55E+11,37.13325858,776.3342956,SS
Al20Li20Mg10Sc20Ti30,5,Al Li Mg Sc Ti,20 20 10 20 30,1.5171,0.051625095,1.383,0.225435135,2.8,1.077032961,66300000000,35.58103427,5118.355322,SS
Ag2Al,2,Ag Al,2 1,1.440666667,0.004253766,1.823333333,0.150849447,8.333333333,3.771236166,92000000000,11.3137085,203.0876027,IM
B2CoW2,3,B Co W,2 1 2,1.125,0.224540442,2.136,0.192,5.4,2.244994432,2.88E+11,54.18486874,104.9918391,IM
CuZr,2,Cu Zr ,50 50,1.4405,0.112808053,1.615,0.285,7.5,3.5,1.05E+11,34.58333333,52.52503585,AM
CdSn10,2,Cd Sn,1 10,1.615272727,0.009254752,1.935454545,0.077619543,4.727272727,2.299838298,56545454545,4.599676597,0,IM
Al21Cu2Mn3,3,Al Cu Mn,21 2 3,1.410692308,0.032839485,1.625384615,0.081534833,4.076923077,2.368431434,86000000000,20.93947321,88.99525235,IM
Ti50Ni20Cu25Sn3Be7,5,Ti Ni Cu Sn Be,50 20 25 3 7,1.359295238,0.088739237,1.710190476,0.18184756,6.676190476,3.410055824,1.30E+11,28.95661623,104.4072763,AM
AlCo0.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 0.5 1 0.5 1 1,1.2865,0.057070382,1.78,0.12239281,7.4,2.690724809,1.49E+11,38.4,362.6513595,SS
Zr46.75Ti8.25Cu7.5Ni10Be27.5,5,Zr Ti Cu Ni Be,46.75 8.25 7.5 10 27.5,1.4006675,0.14876022,1.514075,0.208811265,4.575,2.836260743,1.06E+11,37.04026754,64.0287244,AM
Al7Cu3Mg6,3,Al Cu Mg,7 3 6,1.4665,0.080587476,1.551875,0.21480278,4.125,3.333072906,76375000000,33.58920027,423.7878513,IM
CdIn3Na2,3,Cd In Na,1 3 2,1.660333333,0.083774199,1.481666667,0.391382876,3.833333333,3.760171391,25765000000,14.10103631,110.6311913,IM
Al0.5CoCrCuFeNiTi2.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 2.0,1.320666667,0.073088923,1.742,0.153631594,7.133333333,2.753583524,1.45E+11,32.97568128,198.779108,IM+SS
Sm2Fe17Ni3,3,Sm Fe Ni,2 17 3,1.293409091,0.126309038,1.780909091,0.195096924,7.818181818,1.668869068,1.59E+11,38.52926332,454.9359184,IM
NaZn13,2,Na Zn,1 13,1.428,0.083321563,1.598571429,0.185428351,11.21428571,2.832933145,65450000000,16.4052583,108.2552223,IM
CoCrFeNiAl0.4MnV,7,Co Cr Fe Ni Al Mn V,1 1 1 1 0.4 1 1,1.28528125,0.043208028,1.735,0.135669636,7.21875,1.980125864,1.56E+11,28.60117731,331.466583,IM
Ni45Ti20Zr35,3,Ni Ti Zr,45 20 35,1.41415,0.11328335,1.633,0.26151673,6.7,2.984962311,1.28E+11,49.24800828,46.09058959,AM
Ni39.8Cu5.97Ti15.92Zr29.86Al9.95Si0.5,6,Ni Cu Ti Zr Al Si,39.8 5.97 15.92 29.86 9.95 0.5,1.403784118,0.1084412,1.652559804,0.249713613,6.653333333,3.157906148,1.24E+11,48.21048163,58.41804509,AM
Al3In,2,Al In,3 1,1.464,0.037859034,1.6525,0.073612159,3,0,65332500000,18.47665199,86.49678533,IM
FeSi2,2,Fe Si,1 2,1.182333333,0.035086212,1.876666667,0.032998316,5.333333333,1.885618083,1.23E+11,32.99831646,35.36063529,IM
Co2V3,2,Co V,2 3,1.29,0.02468478,1.73,0.122474487,6.6,1.959591794,1.68E+11,9.797958971,101.0018253,IM
Sb3Y4,2,Sb Y,3 4,1.599714286,0.146013213,1.575714286,0.410743477,3.857142857,0.989743319,41428571429,0.494871659,14.50999372,IM
Co0.5Cr0.5Fe0.5NiAlMnV,7,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 1,1.311727273,0.052998247,1.706363636,0.138056163,6.636363636,2.3845231,1.44E+11,37.81730768,195.6773435,SS
Cu0.5NiAlCoCrFeTi,7,Cu Ni Al Co Cr Fe Ti,0.5 1 1 1 1 1 1,1.310769231,0.069893208,1.750769231,0.142475992,7,2.717464882,1.46E+11,37.81862664,190.290825,AM
Cr50Co29Nb7B14,4,Cr Co Nb B,50 29 7 14,1.20212,0.133713301,1.7728,0.147581029,6.38,1.948229966,1.89E+11,53.58908471,123.7767662,AM
AuPb3,2,Au Pb,1 3,1.673,0.07971782,2.3825,0.090932667,5.75,3.031088913,89500000000,75.34421013,294.209999,IM
AlNi6Ta,3,Al Ni Ta,1 6 1,1.29225,0.061991805,1.82125,0.156159974,8.5,2.645751311,1.70E+11,35.94092375,66.0541875,IM
Mg65Cu20Ni5Gd10,4,Mg Cu Ni Gd,65 20 5 10,1.53865,0.107344199,1.447,0.264690385,4.3,3.769615365,70050000000,45.756393,187.0890316,AM
B2Co3Zr,3,B Co Zr,2 3 1,1.166,0.235413601,1.841666667,0.239751028,6.166666667,2.852873795,2.08E+11,87.80030038,44.98647039,IM
Al0.8CrCuFe1.5MnNi,6,Al Cr Cu Fe Mn Ni,0.8 1 1 1.5 1 1,1.290492063,0.050815514,1.754444444,0.138790441,7.682539683,2.435357259,1.45E+11,32.96332815,872.1602568,SS
B2MgNi7,3,B Mg Ni,2 1 7,1.1963,0.180114245,1.876,0.195509591,7.8,3.370459909,1.95E+11,74.37909653,95.45843862,IM
Ag5Sn,2,Ag Sn,5 1,1.474166667,0.044241028,1.935,0.01118034,9.833333333,2.608745974,93000000000,15.65247584,300.9627223,IM
Ni62Zr28Nb7Al3,4,Ni Zr Nb Al,62 28 7 3,1.36435,0.11603108,1.7169,0.257548811,7.76,2.877915913,1.46E+11,49.85878324,42.24797639,AM
Ce70Al10Ni10Cu10,4,Ce Al Ni Cu,70 10 10 10,1.6731,0.141207767,1.326,0.323765347,4.5,3.008321791,55000000000,55.60035971,43.1147482,AM
Ni55Nb20Hf10Ti15,4,Ni Nb Hf Ti,55 20 10 15,1.3482,0.088616557,1.7315,0.21237408,7.5,2.783882181,1.61E+11,29.40663191,71.19879555,AM
Cu51Hf14,2,Cu Hf,51 14,1.342615385,0.091855546,1.770769231,0.246653339,9.492307692,2.877622293,1.34E+11,12.33266697,72.7708848,IM
CoCrCuFeNiTi2,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 2,1.312714286,0.07240603,1.751428571,0.154774358,7.428571429,2.610809555,1.50E+11,28.28427125,226.3270447,AM+IM
NbCrFeMnCoNi,6,Nb Cr Fe Mn Co Ni,1 1 1 1 1 1,1.294333333,0.054946307,1.738333333,0.140643363,7.5,1.707825128,1.63E+11,20.54804668,292.5545044,IM+SS
Tb36Al24Co20Y20,4,Tb Al Co Y,36 24 20 20,1.59544,0.141642517,1.4024,0.309092607,4.2,2.4,76372000000,53.93446038,59.69501975,AM
Al5CuTi2,3,Al Cu Ti,5 1 2,1.42025,0.038894433,1.62875,0.106704909,4.25,2.586020108,92500000000,22.99456458,55.22566395,IM
CdMg,2,Cd Mg,1 1,1.5845,0.01041338,1.5,0.19,7,5,43500000000,1.5,87.63806383,IM
CoCrFeNiAlNb0.1,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.1,1.286647059,0.059188612,1.774509804,0.12190182,7.156862745,2.4763394,1.54E+11,38.98836073,214.3590312,SS
CuGeLi2,3,Cu Ge Li,1 1 2,1.389,0.094090991,1.4675,0.489048822,4.25,4.08503366,40500000000,57.62161053,39.94078725,IM
BeCuNiTiVZr,6,Be Cu Ni Ti V Zr,1 1 1 1 1 1,1.338833333,0.115004837,1.646666667,0.204667752,6,3.31662479,1.32E+11,35.07405085,130.755687,AM+IM
AlMo,2,Al Mo,1 1,1.3975,0.024686941,1.885,0.275,4.5,1.5,1.53E+11,77,265.4386335,IM
Al4Cu3,2,Al Cu,4 3,1.366,0.055790802,1.734285714,0.143512781,6.428571429,3.958973274,1.03E+11,31.6717862,777.5240267,IM
FeCoNiCrCuAl2.8,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.8,1.31725641,0.065658878,1.754871795,0.131165814,6.717948718,3.104576588,1.34E+11,44.80507861,240.658075,SS
ZrHfTiCuFe,5,Zr Hf Ti Cu Fe,1 1 1 1 1,1.4324,0.104324491,1.58,0.247951608,6.2,2.856571371,1.20E+11,33.21813427,198.0049601,AM
Co63Fe9Zr8B20,4,Co Fe Zr B,63 9 8 20,1.19206,0.1751633,1.8635,0.171092811,7.31,2.536513355,1.98E+11,67.41701895,71.32747563,AM
GdTbDyTmLu,5,Gd Tb Dy Tm Lu,1 1 1 1 1,1.7302,0.050718319,1.208,0.059126982,3,4.44E-16,42140000000,3.815547143,0,SS
Be17Ti2,2,Be Ti,17 2,1.163157895,0.088123888,1.566842105,0.009206766,2.210526316,0.61378441,1.28E+11,6.1378441,47.64037662,IM
